#{"t_start": 1676137631.5010521, "env_id": null}
r,l,t
1936,3000,11.905585
1978,3000,23.349844
2098,3000,35.752803
1996,3000,47.604157
1636,3000,59.588789
1882,3000,72.27248
2070,3000,84.057807
2142,3000,96.362389
2214,3000,108.312728
1812,3000,120.542339
1896,3000,132.910108
2666,3000,144.962755
2158,3000,157.080126
2356,3000,169.697281
2580,3000,181.890243
2110,3000,193.655827
1076,3000,205.602677
2122,3000,217.888098
2176,3000,230.424569
1822,3000,242.2485
1374,3000,254.329967
2022,3000,266.448649
2094,3000,278.310304
2298,3000,290.096399
1824,3000,302.167532
2254,3000,314.615413
1964,3000,326.670405
2326,3000,339.245261
2576,3000,352.085084
2072,3000,364.264905
2184,3000,376.207618
2114,3000,387.938748
1990,3000,400.519769
2026,3000,412.437865
2648,3000,424.643436
2516,3000,436.617404
2294,3000,448.484809
2270,3000,460.014631
2036,3000,472.133613
2534,3000,483.988024
2116,3000,496.09892
2376,3000,508.060493
1812,3000,520.167302
2050,3000,532.023693
1676,3000,544.11114
2480,3000,556.735382
2244,3000,568.864049
2132,3000,580.632757
2294,3000,593.138443
2036,3000,605.250127
2554,3000,618.329891
2246,3000,630.953241
2088,3000,643.205778
2220,3000,654.881192
1724,3000,666.864802
2290,3000,678.825276
1886,3000,691.246437
2442,3000,702.893737
2090,3000,714.773058
2110,3000,727.268095
2268,3000,739.939104
2080,3000,752.023612
1814,3000,764.517458
1954,3000,776.66612
2468,3000,788.612519
1392,3000,801.362157
1890,3000,836.142803
2472,3000,849.632987
1668,3000,863.213171
2814,3000,877.068028
1842,3000,891.51348
2484,3000,905.166587
2344,3000,920.23261
1988,3000,934.518992
2428,3000,950.203336
2322,3000,964.898936
2200,3000,979.463467
2232,3000,994.712598
2146,3000,1009.466926
2218,3000,1024.215318
1918,3000,1038.262123
2552,3000,1054.285308
2238,3000,1068.524222
2268,3000,1083.153813
2608,3000,1097.588552
2244,3000,1112.056506
2236,3000,1125.743252
2074,3000,1139.505735
2542,3000,1153.267706
2050,3000,1168.093121
2108,3000,1182.316819
2970,3000,1196.254133
1778,3000,1210.55066
2442,3000,1225.395449
2340,3000,1240.132489
2840,3000,1255.063395
2258,3000,1268.846342
2618,3000,1283.096781
2560,3000,1297.318631
3000,3000,1311.995453
2646,3000,1325.762289
2206,3000,1339.543833
2906,3000,1353.457875
2734,3000,1367.90933
2738,3000,1382.220186
2834,3000,1396.768022
3042,3000,1410.431708
2218,3000,1424.44852
2570,3000,1438.591106
2386,3000,1452.413029
2846,3000,1466.41629
2454,3000,1480.150566
2490,3000,1494.521697
2842,3000,1508.397826
2142,3000,1522.062888
2986,3000,1536.170151
2550,3000,1549.367911
2820,3000,1563.939824
3294,3000,1577.847158
