#{"t_start": 1676137650.7918804, "env_id": null}
r,l,t
1592,3000,13.351238
2048,3000,24.826221
1298,3000,37.135217
1772,3000,49.082518
1810,3000,60.329917
1590,3000,72.428426
1826,3000,84.17859
2018,3000,95.544705
2094,3000,107.401773
1658,3000,118.984718
1902,3000,130.44126
1626,3000,142.398366
1534,3000,153.818849
2016,3000,165.213264
1818,3000,176.585418
1874,3000,188.888054
1858,3000,200.453058
1870,3000,211.925435
1664,3000,223.527827
1982,3000,234.602793
1862,3000,247.48326
1902,3000,259.067269
1704,3000,270.703115
1764,3000,282.514497
1676,3000,294.611055
1704,3000,306.268692
1954,3000,317.979697
1544,3000,329.679467
2046,3000,341.006859
1616,3000,352.802432
2034,3000,364.742672
1448,3000,376.912504
2132,3000,388.363278
2708,3000,399.873156
2088,3000,411.085395
1942,3000,422.358701
1864,3000,434.493783
2090,3000,446.063507
1972,3000,457.221071
2206,3000,469.141784
2136,3000,480.690065
1844,3000,492.390404
2190,3000,504.360944
1584,3000,515.820948
1882,3000,527.046179
1984,3000,539.201432
2476,3000,550.840415
1818,3000,562.81945
2026,3000,575.076037
2046,3000,587.429095
1772,3000,598.959095
1618,3000,610.583011
2294,3000,622.69077
1986,3000,634.136065
2040,3000,645.867563
1898,3000,657.749293
1712,3000,669.240115
2134,3000,680.466346
2032,3000,691.793235
2140,3000,703.49999
2408,3000,715.546031
1822,3000,727.799034
1878,3000,739.348181
2080,3000,751.667084
2306,3000,763.170877
1890,3000,775.098598
1778,3000,808.889683
1830,3000,821.099344
1758,3000,833.985994
2216,3000,846.808345
1890,3000,859.752914
2246,3000,872.604626
1614,3000,886.419251
1640,3000,900.268111
1542,3000,913.454367
1904,3000,929.361619
2238,3000,943.663957
2538,3000,957.451968
1958,3000,973.183282
1634,3000,987.400296
1852,3000,1000.982847
1860,3000,1014.74662
2366,3000,1028.349889
1884,3000,1043.381878
2106,3000,1058.012239
1894,3000,1071.99893
2000,3000,1085.520685
2304,3000,1099.59085
2100,3000,1113.622912
1794,3000,1127.489693
2078,3000,1141.653042
2884,3000,1155.264421
2090,3000,1169.157669
1600,3000,1182.841154
2490,3000,1196.979174
1822,3000,1210.5655
2088,3000,1224.647405
2310,3000,1238.297906
2288,3000,1251.694621
1994,3000,1265.606914
2422,3000,1279.747982
2206,3000,1293.546909
2254,3000,1306.993797
2410,3000,1320.129493
1836,3000,1333.559735
2314,3000,1347.514315
2174,3000,1360.959641
2766,3000,1374.09362
2304,3000,1387.907714
2388,3000,1401.905296
2440,3000,1415.917292
2478,3000,1429.57102
2238,3000,1443.093104
2788,3000,1456.879691
2822,3000,1470.377733
2624,3000,1484.013914
2736,3000,1497.274784
2984,3000,1510.851801
2794,3000,1524.062021
1886,3000,1538.071798
2338,3000,1551.311451
2126,3000,1564.655242
2478,3000,1577.910306
2504,3000,1591.91403
2702,3000,1605.215582
2824,3000,1618.892211
2378,3000,1632.467332
2518,3000,1645.949041
2726,3000,1659.767671
3008,3000,1672.370371
2648,3000,1685.98608
2766,3000,1699.265832
2956,3000,1712.121582
2224,3000,1744.697835
2638,3000,1757.820913
2192,3000,1770.991011
2600,3000,1783.825343
2980,3000,1796.998172
2548,3000,1810.314373
2574,3000,1822.714969
2440,3000,1836.025251
2772,3000,1849.516757
3146,3000,1862.938217
3330,3000,1876.55441
2362,3000,1890.127751
2424,3000,1903.803588
