#{"t_start": 1676137627.957339, "env_id": null}
r,l,t
2472,3000,13.586842
2398,3000,26.177974
2122,3000,40.577346
2522,3000,55.014055
2362,3000,68.906876
2296,3000,83.065608
2666,3000,97.534383
2682,3000,111.233746
2460,3000,125.047094
2472,3000,139.112811
2524,3000,153.0475
2668,3000,166.74544
2652,3000,180.071038
2338,3000,194.78846
2936,3000,208.643806
2468,3000,222.638738
1864,3000,236.782968
2328,3000,250.978386
2472,3000,265.459111
3034,3000,279.262333
2220,3000,293.305533
2694,3000,306.548853
3248,3000,320.466434
2874,3000,333.832436
2742,3000,347.707872
2678,3000,362.058272
2470,3000,375.961714
2178,3000,390.261811
2350,3000,404.374079
2478,3000,418.098749
2552,3000,432.060298
3304,3000,445.644183
2566,3000,459.262957
2638,3000,473.387895
2454,3000,487.114301
2474,3000,500.535963
2634,3000,514.284724
2460,3000,527.433601
2664,3000,541.534917
2932,3000,555.493397
2514,3000,569.453231
2762,3000,583.095748
2946,3000,596.602671
2536,3000,610.556867
2400,3000,624.320949
2492,3000,638.647663
3156,3000,651.743037
2750,3000,665.306562
2574,3000,679.171603
2762,3000,693.019867
2682,3000,706.346913
2768,3000,719.741045
2516,3000,734.15272
2670,3000,748.14744
2742,3000,761.852149
2448,3000,775.948966
2752,3000,789.630232
2662,3000,803.107416
2544,3000,817.577971
2650,3000,832.830392
2384,3000,847.673148
3162,3000,862.767769
2658,3000,878.135204
2936,3000,893.886872
2932,3000,910.307165
2328,3000,926.375044
2762,3000,958.375983
2500,3000,975.63562
2638,3000,992.62342
2264,3000,1009.525841
2960,3000,1025.913651
2878,3000,1041.207531
2820,3000,1056.966748
2704,3000,1073.364535
2692,3000,1089.103137
2728,3000,1105.35697
3010,3000,1121.304247
3088,3000,1138.002377
2656,3000,1153.984495
2062,3000,1170.81571
2930,3000,1186.790204
2382,3000,1203.827888
3002,3000,1220.568126
2840,3000,1237.018904
2572,3000,1253.004956
2748,3000,1269.20597
2622,3000,1285.481452
2478,3000,1302.194332
3126,3000,1318.412004
2674,3000,1334.593937
2942,3000,1351.680067
2902,3000,1367.82885
2758,3000,1383.878958
3120,3000,1400.618176
2732,3000,1416.783144
3154,3000,1431.976329
3068,3000,1447.982372
3106,3000,1463.651858
2660,3000,1479.359796
2924,3000,1495.505032
2246,3000,1511.609272
2730,3000,1528.519768
3116,3000,1544.927161
2990,3000,1561.77179
2714,3000,1577.581094
3528,3000,1593.763703
2804,3000,1609.106099
3188,3000,1625.508715
2790,3000,1642.188931
3194,3000,1658.302775
2328,3000,1674.047581
2952,3000,1690.149011
2930,3000,1706.261829
3098,3000,1722.659887
2900,3000,1738.287795
2328,3000,1755.01921
2868,3000,1771.381848
2528,3000,1788.153498
2902,3000,1804.198093
3140,3000,1820.243379
2648,3000,1837.040951
2688,3000,1853.761199
2702,3000,1870.38299
3426,3000,1887.056665
2752,3000,1904.140386
3128,3000,1920.485115
2866,3000,1936.109124
3178,3000,1952.135359
2332,3000,1968.350479
3188,3000,1984.363137
3104,3000,1999.885364
2690,3000,2016.163986
2768,3000,2032.927328
3230,3000,2063.582472
2456,3000,2079.905759
2850,3000,2096.019745
3168,3000,2112.07695
3098,3000,2128.335084
2924,3000,2144.250964
2680,3000,2159.89796
2512,3000,2175.947709
2476,3000,2192.111533
2972,3000,2207.959554
3248,3000,2224.507038
3016,3000,2240.73238
3618,3000,2256.369402
3370,3000,2272.093824
3520,3000,2288.408395
2774,3000,2305.286179
3276,3000,2321.028232
2858,3000,2336.649552
3144,3000,2352.368423
3168,3000,2368.542329
3440,3000,2384.682158
3674,3000,2400.689264
3180,3000,2415.684962
3468,3000,2431.403244
3550,3000,2447.177577
3678,3000,2462.951245
3050,3000,2478.790184
3408,3000,2494.103633
3476,3000,2510.040841
2782,3000,2526.259342
3982,3000,2541.650123
3684,3000,2557.056328
3270,3000,2572.279915
3012,3000,2588.875592
3108,3000,2604.877708
3558,3000,2620.727143
3064,3000,2635.731219
3642,3000,2651.288361
3462,3000,2667.258339
3312,3000,2682.298532
3374,3000,2697.646094
3404,3000,2712.666621
3328,3000,2728.337227
4046,3000,2743.82333
3334,3000,2758.7284
3562,3000,2774.118172
3116,3000,2789.786941
3714,3000,2806.133498
4010,3000,2821.674274
3680,3000,2837.648665
4082,3000,2853.226839
4164,3000,2867.942423
3606,3000,2882.730652
3256,3000,2897.930994
3868,3000,2912.660503
3556,3000,2928.096513
3702,3000,2943.695174
3874,3000,2959.000958
3818,3000,2974.624246
3714,3000,2990.711264
3708,3000,3005.915147
4200,3000,3020.965412
3894,3000,3036.954401
4026,3000,3052.428853
3536,3000,3067.992077
3970,3000,3083.195597
3394,3000,3097.838527
4180,3000,3125.410057
4108,3000,3140.559804
3934,3000,3156.575704
3920,3000,3171.575639
4160,3000,3187.287172
4028,3000,3202.381441
3980,3000,3218.06869
4510,3000,3233.820858
4186,3000,3249.017965
3966,3000,3264.558169
3986,3000,3280.085993
3498,3000,3295.524049
3930,3000,3311.041389
4096,3000,3326.921434
4370,3000,3342.544025
3936,3000,3357.895544
4530,3000,3372.709936
4092,3000,3388.128811
3786,3000,3403.400608
3702,3000,3418.845235
4006,3000,3433.948231
4000,3000,3449.612917
4116,3000,3464.977659
3990,3000,3479.72013
3500,3000,3495.318263
4194,3000,3510.963489
3834,3000,3526.551793
4060,3000,3542.419453
4500,3000,3558.131203
3986,3000,3572.962589
3692,3000,3588.20682
4124,3000,3603.759722
4462,3000,3618.517477
4264,3000,3633.601164
4074,3000,3649.006755
4414,3000,3664.535711
4274,3000,3679.092321
4094,3000,3694.436561
4260,3000,3709.865278
3980,3000,3725.135726
4084,3000,3740.155913
4000,3000,3755.877978
4112,3000,3771.319533
4104,3000,3786.184471
3998,3000,3801.422105
4496,3000,3816.888922
4058,3000,3831.735636
4254,3000,3847.782778
4058,3000,3864.418125
3554,3000,3879.985725
4464,3000,3894.722051
4428,3000,3909.692953
4338,3000,3925.852098
4160,3000,3942.563247
4334,3000,3958.177212
4224,3000,3972.985659
4066,3000,3988.117877
4488,3000,4003.287633
4282,3000,4019.097999
4406,3000,4033.901256
4066,3000,4049.041785
5030,3000,4063.657836
4326,3000,4078.915984
4200,3000,4094.032734
3850,3000,4109.397746
3952,3000,4125.124871
4562,3000,4153.023395
4220,3000,4167.919029
4016,3000,4183.486083
3772,3000,4198.623794
