#{"t_start": 1680175705.9355333, "env_id": null}
r,l,t
-391360,3000,17.034808
-376379,3000,32.614124
-395381,3000,49.020429
-385367,3000,65.60964
-391370,3000,81.875297
-389371,3000,99.009893
-362363,3000,116.03887
-376351,3000,132.739991
-393354,3000,149.48667
-396321,3000,166.325843
-386355,3000,182.610772
-365339,3000,198.71974
-388333,3000,214.456127
-390358,3000,232.049844
-358346,3000,248.04073
-385380,3000,263.918504
-415385,3000,280.178202
-379373,3000,296.508667
-389352,3000,313.162197
-362333,3000,329.076486
-397368,3000,345.507668
-378335,3000,361.008854
-358317,3000,377.005749
-380335,3000,392.799728
-364352,3000,409.315692
-363354,3000,426.33567
-376364,3000,443.760752
-395378,3000,460.850722
-384368,3000,479.218711
-381375,3000,495.827304
-385343,3000,512.488321
-363309,3000,530.043972
-382364,3000,545.935981
-376347,3000,562.11647
-390362,3000,578.889881
-376364,3000,594.990944
-388346,3000,611.358842
-394356,3000,627.091913
-359337,3000,643.908104
-373340,3000,660.025696
-394334,3000,675.93502
-377345,3000,692.002781
-374345,3000,708.338949
-381350,3000,725.10439
-400358,3000,742.742553
-402351,3000,760.215314
-343338,3000,775.928715
-382353,3000,792.933576
-388350,3000,809.942629
-388351,3000,827.109041
-386353,3000,843.475553
-388351,3000,859.298444
-381357,3000,876.842812
-382357,3000,893.081271
-380367,3000,908.952205
-409376,3000,924.686916
-383337,3000,940.824964
-367339,3000,956.22696
-401361,3000,971.894448
-381348,3000,988.404367
-407352,3000,1005.291874
-341325,3000,1021.37618
-378368,3000,1037.678531
-373344,3000,1054.023928
-361333,3000,1069.830175
-384372,3000,1085.973325
-391340,3000,1109.192956
-358341,3000,1124.687596
-394356,3000,1141.172165
-382347,3000,1156.638327
-352346,3000,1172.507221
-377361,3000,1187.962598
-368360,3000,1204.262256
-390342,3000,1220.420377
-350327,3000,1235.553346
-368352,3000,1251.496779
-396362,3000,1266.75642
-377368,3000,1282.497819
-374365,3000,1298.558693
-397360,3000,1315.254997
-384339,3000,1331.711304
-375359,3000,1348.682215
-360326,3000,1365.007123
-365331,3000,1381.393412
-341316,3000,1396.512199
-366354,3000,1412.005412
-383357,3000,1427.607221
-359350,3000,1443.995008
-425395,3000,1460.783913
-375335,3000,1475.784089
-380370,3000,1492.497199
-378336,3000,1508.482525
-358317,3000,1523.664272
-334315,3000,1540.112947
-365336,3000,1556.279849
-350318,3000,1572.155172
-374331,3000,1588.587301
-366324,3000,1604.136385
-349323,3000,1619.924402
