#{"t_start": 1680175684.9521194, "env_id": null}
r,l,t
-355948,3000,16.789571
-351712,3000,35.65952
-376144,3000,55.117358
-368864,3000,75.040977
-377944,3000,95.217087
-349000,3000,114.930286
-367208,3000,134.887387
-370104,3000,154.855673
-369632,3000,176.306347
-381484,3000,195.259916
-360700,3000,214.302849
-386888,3000,234.193443
-386992,3000,253.401419
-382716,3000,273.220506
-392180,3000,292.65688
-352056,3000,312.212479
-385000,3000,331.902375
-351864,3000,352.022758
-365772,3000,371.6469
-337496,3000,390.9448
-381964,3000,410.879753
-369584,3000,430.142236
-369728,3000,450.565408
-374792,3000,471.247895
-381056,3000,493.214243
-368800,3000,514.132874
-347792,3000,535.206255
-380184,3000,555.228921
-366064,3000,576.798168
-375128,3000,597.587787
-356640,3000,617.651765
-396004,3000,638.193163
-349772,3000,657.961119
-358732,3000,677.93593
-369820,3000,699.730778
-359736,3000,721.659379
-367696,3000,742.936998
-365548,3000,765.098864
-376784,3000,784.794083
-355876,3000,803.954203
-370840,3000,823.617634
-366700,3000,843.467222
-360180,3000,864.414108
-366656,3000,884.867612
-355868,3000,904.439156
-388804,3000,924.942697
-364812,3000,944.616254
-348496,3000,964.839837
-352736,3000,984.539727
-368900,3000,1005.072524
-354820,3000,1025.008295
-379812,3000,1045.04107
-348816,3000,1065.79107
-394144,3000,1085.395068
-351792,3000,1105.161932
-368820,3000,1124.487982
-360664,3000,1144.673354
-308172,3000,1164.150126
-373768,3000,1184.595162
-382912,3000,1204.910541
-365584,3000,1224.685758
-351808,3000,1245.330291
-363864,3000,1266.132088
-361864,3000,1286.17609
-362944,3000,1305.46903
-367104,3000,1325.096479
-375604,3000,1353.344093
-371016,3000,1373.561109
-392304,3000,1393.53533
-377936,3000,1413.566658
-360904,3000,1432.805087
-358668,3000,1451.721623
-343976,3000,1471.814174
-375752,3000,1491.391061
-411076,3000,1511.272916
-361084,3000,1531.290412
-378692,3000,1550.891082
-337780,3000,1570.513896
-334856,3000,1590.44894
-374992,3000,1610.265662
-375916,3000,1630.006829
-333768,3000,1649.955322
-366664,3000,1669.325786
-368812,3000,1688.953645
-329544,3000,1708.750458
-361760,3000,1728.231748
-368820,3000,1748.388106
-374048,3000,1768.530567
-350576,3000,1788.452883
-385872,3000,1807.761932
-353840,3000,1827.44722
-344612,3000,1846.8096
-381692,3000,1867.62494
-352960,3000,1888.066914
-337752,3000,1907.704482
-337548,3000,1927.595046
-387992,3000,1947.162664
-363564,3000,1966.787237
-375868,3000,1986.005414
-366028,3000,2005.803417
-358960,3000,2025.538163
-353672,3000,2045.192168
-367568,3000,2064.783522
-349588,3000,2085.34104
-375840,3000,2105.365013
-344736,3000,2125.52315
-342512,3000,2144.632495
-342624,3000,2164.578641
-331488,3000,2184.521899
-333692,3000,2204.772499
-378664,3000,2223.557889
-349472,3000,2242.667422
-368712,3000,2261.051582
-371708,3000,2280.466288
-353580,3000,2299.484798
-373928,3000,2318.713776
-343624,3000,2337.602124
-347996,3000,2357.176906
-336412,3000,2377.037451
-371588,3000,2396.491692
-361664,3000,2415.954979
-336720,3000,2435.781104
-381868,3000,2456.091016
-328512,3000,2475.532707
-364876,3000,2495.677073
-351344,3000,2514.713866
-378640,3000,2534.352811
-351392,3000,2553.661987
-341692,3000,2572.442397
-358780,3000,2592.247537
-354448,3000,2611.691406
-349540,3000,2630.673241
-368716,3000,2650.986552
-335404,3000,2677.50513
-344652,3000,2697.236427
-360488,3000,2716.906485
-348640,3000,2736.540837
-355640,3000,2756.055508
-351716,3000,2775.157954
-347416,3000,2793.836699
-332888,3000,2812.412844
-362620,3000,2831.807071
-364520,3000,2851.353513
-326512,3000,2870.327108
-353876,3000,2889.396183
-363336,3000,2908.018239
-367780,3000,2928.071887
-358728,3000,2948.126641
-352692,3000,2967.692898
-382732,3000,2987.045414
-357412,3000,3006.763414
-350436,3000,3025.716543
-343408,3000,3044.832511
-369748,3000,3064.322131
-350388,3000,3085.330743
-336428,3000,3106.09442
-370636,3000,3125.957509
-349992,3000,3146.272186
-335472,3000,3166.094311
-368584,3000,3185.654328
-339588,3000,3205.130666
-328228,3000,3224.480238
-340412,3000,3243.80672
-329352,3000,3262.546854
-356708,3000,3282.013314
-357408,3000,3300.8198
-349752,3000,3319.750451
-350624,3000,3338.803876
-364552,3000,3358.148512
-340200,3000,3377.462946
-368676,3000,3397.181681
-344148,3000,3416.218393
-370284,3000,3434.818625
-372736,3000,3454.376012
-343500,3000,3474.165041
-354360,3000,3494.43322
-353560,3000,3514.200936
-359872,3000,3534.393296
-369564,3000,3554.246676
-336444,3000,3573.961661
-329360,3000,3593.952674
-354600,3000,3613.503945
-317348,3000,3632.499595
-323276,3000,3651.904086
-382792,3000,3671.94036
-383632,3000,3692.033716
-348480,3000,3711.483759
-355504,3000,3730.815065
-332504,3000,3750.287148
-346424,3000,3770.819865
-357436,3000,3789.796968
-307588,3000,3809.820381
-342436,3000,3829.203007
-363668,3000,3848.659624
-325396,3000,3868.126814
-351460,3000,3887.45291
-347540,3000,3906.586593
-341712,3000,3926.140033
-325504,3000,3945.73311
-377564,3000,3964.976805
-321416,3000,3992.221034
-359440,3000,4011.350737
-331296,3000,4030.405348
-368612,3000,4049.997886
-339308,3000,4068.784094
-321132,3000,4087.659941
-343616,3000,4107.508627
-335316,3000,4127.295503
-361400,3000,4146.403322
-345804,3000,4165.589458
-338144,3000,4185.199387
-351364,3000,4205.03251
-373460,3000,4224.107126
-328360,3000,4243.387459
-312148,3000,4264.308742
-316272,3000,4285.337763
-326184,3000,4304.474067
-361516,3000,4323.852956
-329488,3000,4343.418075
-361500,3000,4362.783518
-371584,3000,4381.56458
-351704,3000,4402.255322
-362716,3000,4422.169777
-329420,3000,4441.293248
-350676,3000,4460.752567
-323432,3000,4479.790287
-328436,3000,4499.906367
-340372,3000,4519.585387
-351588,3000,4539.61364
-343584,3000,4558.537719
-348320,3000,4579.045139
-334532,3000,4599.025245
-333244,3000,4619.952988
-340696,3000,4639.877244
-345380,3000,4659.443732
-358764,3000,4679.488179
-332360,3000,4697.570968
-341408,3000,4717.099842
-338504,3000,4735.734901
-318308,3000,4755.206316
-345476,3000,4775.029031
-343484,3000,4795.669417
-355372,3000,4814.991764
-349332,3000,4834.009055
-359244,3000,4853.597758
-351488,3000,4872.817178
-344436,3000,4892.93285
-352556,3000,4913.318781
-338692,3000,4932.645993
-313312,3000,4951.930012
-322128,3000,4971.12707
-327420,3000,4989.876011
-325292,3000,5009.765065
-340500,3000,5029.252271
-331428,3000,5048.372452
-321312,3000,5068.211023
-360224,3000,5087.137467
-334252,3000,5106.683927
-338688,3000,5126.031428
-320584,3000,5146.221113
-307144,3000,5166.59024
-290868,3000,5186.915537
-327968,3000,5206.250959
-335200,3000,5224.76793
-332492,3000,5244.436566
-347276,3000,5264.321555
-323372,3000,5290.976656
-361396,3000,5310.112185
-354600,3000,5330.105722
-349856,3000,5349.286511
-359552,3000,5368.635926
-312356,3000,5387.537444
-369524,3000,5407.389496
-332108,3000,5426.112939
-341572,3000,5446.402888
-326472,3000,5465.027498
-322284,3000,5483.397164
-342564,3000,5501.905833
-322372,3000,5520.610297
-351260,3000,5540.490418
-365680,3000,5559.404274
-365580,3000,5578.754574
-310232,3000,5597.886171
-322404,3000,5616.950876
-330348,3000,5636.838553
-380540,3000,5656.413799
-342268,3000,5675.239941
-307364,3000,5694.792217
-314148,3000,5714.233775
-357552,3000,5733.497273
-325316,3000,5752.959125
-326648,3000,5771.515461
-339448,3000,5791.652785
-316192,3000,5810.806902
-310336,3000,5829.989928
-325264,3000,5850.561303
-305208,3000,5870.752186
-338912,3000,5889.706377
-315304,3000,5908.271354
-304524,3000,5927.894777
-361508,3000,5947.201197
-328888,3000,5966.045151
-335564,3000,5984.944224
-321032,3000,6004.058344
-344364,3000,6023.12829
-329456,3000,6043.270932
-325348,3000,6062.661781
-369436,3000,6082.459171
-337192,3000,6100.954548
-345296,3000,6120.018665
-304452,3000,6139.81673
-366496,3000,6159.408669
-344348,3000,6179.372175
-330332,3000,6199.839653
-327168,3000,6219.433967
-313100,3000,6239.392711
-318384,3000,6260.710472
-323228,3000,6279.315442
-316432,3000,6299.536949
-294380,3000,6319.061299
-347476,3000,6338.815066
-343444,3000,6358.689121
-333252,3000,6377.779024
-318268,3000,6397.179522
-322340,3000,6416.142474
-338356,3000,6436.320187
-327248,3000,6456.180041
-319332,3000,6474.913843
-320148,3000,6495.233778
-322324,3000,6513.866609
-321936,3000,6533.323214
-323248,3000,6552.560402
-318304,3000,6572.332632
-302160,3000,6599.244966
-310060,3000,6617.994369
-320828,3000,6637.373214
-323252,3000,6657.639345
-317740,3000,6677.278217
-332288,3000,6697.668725
-313176,3000,6716.116111
-326036,3000,6735.10864
-313064,3000,6753.999385
-331072,3000,6774.079866
-325888,3000,6793.208443
-317084,3000,6810.482105
-338340,3000,6829.641805
-310216,3000,6848.39851
-337048,3000,6867.85986
-319088,3000,6888.184871
-321144,3000,6909.816758
-343516,3000,6930.374326
-304092,3000,6951.274427
-344292,3000,6971.473824
-346240,3000,6993.245235
-346404,3000,7013.335847
-327960,3000,7033.131323
-321468,3000,7054.783417
-326120,3000,7076.189966
-324048,3000,7096.098679
-313276,3000,7117.332051
-323176,3000,7137.979501
-321120,3000,7158.325038
-346368,3000,7178.980685
-317248,3000,7199.871843
-325080,3000,7220.646608
-309520,3000,7239.883869
-315000,3000,7259.832584
-349364,3000,7280.340935
-329272,3000,7301.73189
-320056,3000,7322.67408
-330036,3000,7345.804476
-328016,3000,7371.207876
-322208,3000,7393.001593
-336164,3000,7418.404686
-334108,3000,7444.16195
-303280,3000,7468.473121
-331032,3000,7491.138376
-296804,3000,7514.564152
-332952,3000,7535.998561
-326028,3000,7560.046955
-330220,3000,7585.326624
-315224,3000,7606.818855
-324236,3000,7629.766247
-316076,3000,7652.540007
-313000,3000,7674.640953
-329788,3000,7697.185589
-294424,3000,7720.229585
-320312,3000,7741.987729
-322836,3000,7763.274168
-307228,3000,7788.054723
-340100,3000,7811.965472
-340128,3000,7836.963679
-305084,3000,7861.193256
-319076,3000,7906.64787
-311136,3000,7933.094071
-319280,3000,7956.257271
-315044,3000,7979.781001
-309048,3000,8002.356826
-326072,3000,8024.989656
-308800,3000,8047.70667
-305140,3000,8079.838817
-322256,3000,8101.916064
-322288,3000,8122.85632
-315184,3000,8145.559076
-294220,3000,8167.932
-310076,3000,8190.430848
-344276,3000,8213.621383
-341404,3000,8236.270482
-301104,3000,8259.25104
-332164,3000,8281.082121
-301988,3000,8303.640838
-320556,3000,8325.751621
-337120,3000,8348.573394
-316884,3000,8369.863441
-282872,3000,8391.412077
-346208,3000,8607.903174
-314040,3000,8628.058334
-305796,3000,8646.226431
-286148,3000,8664.801304
-310936,3000,8683.143017
-320148,3000,8702.362106
-289268,3000,8720.756588
-318088,3000,8740.090313
-323032,3000,8758.353065
-331132,3000,8777.030117
-322948,3000,8796.005677
-323160,3000,8814.604595
-309288,3000,8833.380669
-335216,3000,8851.710996
-298240,3000,8870.437196
-317088,3000,8888.694098
-324108,3000,8906.615683
-287696,3000,8924.87652
-299780,3000,8943.262813
-302188,3000,8961.948442
-313024,3000,8979.986525
-352316,3000,8997.964857
-313888,3000,9016.258805
-285036,3000,9035.136943
-334080,3000,9054.077572
-298960,3000,9071.827249
-319956,3000,9090.244102
-293020,3000,9109.315045
-289888,3000,9127.519587
-335236,3000,9146.483847
-321200,3000,9165.326596
-288796,3000,9184.647705
-321872,3000,9202.765275
-312136,3000,9221.841269
-333916,3000,9240.578635
-321040,3000,9259.758524
-316128,3000,9278.59255
-340244,3000,9297.251759
-319104,3000,9315.346835
-320352,3000,9334.318355
-285744,3000,9352.289385
-332936,3000,9370.824232
-300000,3000,9389.690285
-330188,3000,9408.19538
-296544,3000,9426.930964
-312044,3000,9445.704549
-319892,3000,9464.537501
-353196,3000,9483.321598
-304876,3000,9501.620208
-315240,3000,9520.046146
-301016,3000,9538.265677
-320836,3000,9563.517633
-321820,3000,9581.648997
-289880,3000,9600.47774
-314888,3000,9618.625835
-312980,3000,9636.134253
-307048,3000,9654.365085
-297160,3000,9672.45543
-280324,3000,9690.614354
-291852,3000,9708.82184
-307088,3000,9727.641529
-308872,3000,9745.08843
-317192,3000,9764.263457
-296012,3000,9783.172987
-309952,3000,9801.813158
-311064,3000,9820.524555
-338144,3000,9838.732015
-297796,3000,9857.414553
-308896,3000,9875.730933
-300100,3000,9893.932415
-289864,3000,9912.496243
-272764,3000,9930.455301
-324928,3000,9948.860269
-303912,3000,9967.337924
-303044,3000,9985.687891
-292128,3000,10003.908086
-318888,3000,10022.558766
-286936,3000,10041.04258
-314116,3000,10059.439584
-300552,3000,10077.671935
-302904,3000,10096.36079
-307048,3000,10115.461604
-291168,3000,10134.644178
-313872,3000,10152.41854
-312972,3000,10170.424606
-290952,3000,10188.523213
-352988,3000,10206.292557
-287988,3000,10224.672375
-314940,3000,10242.59464
-300880,3000,10261.636246
-291892,3000,10280.109249
-315964,3000,10298.72736
-297864,3000,10317.035784
-319976,3000,10335.811851
-287784,3000,10354.408424
-322012,3000,10372.71768
-308996,3000,10390.920017
-299368,3000,10409.306889
-288452,3000,10428.215877
-302656,3000,10447.030955
-291640,3000,10466.107509
-297852,3000,10484.598051
-289808,3000,10502.716227
-301840,3000,10521.292599
-273864,3000,10539.817897
-298832,3000,10558.238106
-296924,3000,10577.10247
-292860,3000,10595.784487
-297860,3000,10614.092828
-311836,3000,10632.21128
-280832,3000,10650.048099
-303840,3000,10668.705546
-285852,3000,10686.798762
-296976,3000,10705.578006
-306028,3000,10724.119956
-303040,3000,10743.027536
-309772,3000,10761.038236
-325768,3000,10779.991054
-294616,3000,10805.052469
-304972,3000,10822.785993
-293728,3000,10841.559459
-293636,3000,10860.025543
-293940,3000,10878.413798
-265608,3000,10895.887592
-302872,3000,10914.236779
-316844,3000,10932.060982
-297840,3000,10950.438875
-287568,3000,10968.788757
-268652,3000,10987.48113
-279652,3000,11006.385047
-293740,3000,11024.697484
-288988,3000,11042.734258
-316016,3000,11061.706024
-308272,3000,11080.1251
-278832,3000,11098.290874
-331080,3000,11116.721467
-290912,3000,11135.712833
-281844,3000,11154.194012
-336096,3000,11172.722893
-306044,3000,11191.100096
-284788,3000,11208.161831
-284736,3000,11227.131371
-293660,3000,11244.891834
-281624,3000,11263.093353
-281804,3000,11281.547281
-323720,3000,11299.552304
-294840,3000,11317.379161
-281580,3000,11336.303267
-285516,3000,11353.944008
-310760,3000,11372.012364
-289228,3000,11390.105279
-276472,3000,11407.945621
-295816,3000,11425.705617
-297668,3000,11444.161822
-285952,3000,11462.827605
-304808,3000,11481.152786
-269400,3000,11499.900278
-271888,3000,11518.596261
-299280,3000,11537.27308
-302388,3000,11556.224969
-288620,3000,11575.337323
-289636,3000,11593.360243
-269552,3000,11611.696589
-284576,3000,11630.717225
-290864,3000,11649.412543
-300556,3000,11666.73537
-318896,3000,11684.791468
-291564,3000,11703.083506
-309180,3000,11720.99215
-295860,3000,11738.908391
-283124,3000,11757.377433
-277564,3000,11775.995865
-292660,3000,11794.963905
-290840,3000,11812.717165
-283860,3000,11830.41793
-295784,3000,11849.175794
-312784,3000,11867.300789
-291848,3000,11885.154882
-298724,3000,11903.17769
-294864,3000,11921.775301
-303988,3000,11939.588406
-268508,3000,11957.290642
-282692,3000,11975.023516
-279488,3000,11992.476951
-281792,3000,12010.537687
-283956,3000,12036.341734
-310856,3000,12054.403229
-295848,3000,12072.38012
-286744,3000,12090.316517
-277380,3000,12108.463768
-276532,3000,12125.67761
-296656,3000,12143.562411
-294940,3000,12161.793418
-298804,3000,12179.996303
-301628,3000,12198.299062
-293952,3000,12216.203892
-293520,3000,12234.121894
-315592,3000,12251.859987
-278868,3000,12270.521487
-278732,3000,12288.767676
-282812,3000,12306.809094
-281916,3000,12324.913894
-290720,3000,12343.130693
-269652,3000,12360.663122
-286608,3000,12378.275169
-263548,3000,12396.641686
-288448,3000,12414.396337
-270292,3000,12432.108556
-287484,3000,12450.787675
-292592,3000,12469.043798
-262524,3000,12488.048032
-272280,3000,12506.068273
-305948,3000,12524.688799
-263848,3000,12542.7468
-308800,3000,12560.953329
-309044,3000,12579.786141
-297860,3000,12598.261381
-284576,3000,12615.599268
-291736,3000,12634.503517
-281916,3000,12652.218039
-284656,3000,12670.283753
-270716,3000,12688.630415
-262748,3000,12707.16407
-272644,3000,12725.697159
-306528,3000,12744.213516
-279420,3000,12762.398751
-276552,3000,12780.683522
-295712,3000,12799.221413
-248204,3000,12816.53162
-292460,3000,12834.507137
-290644,3000,12852.654638
-323864,3000,12871.104725
-313696,3000,12888.563877
-298668,3000,12907.338684
-293780,3000,12925.351102
-292624,3000,12942.811407
-278520,3000,12961.682966
-292952,3000,12980.250088
-286548,3000,12999.390907
-302536,3000,13018.147063
-293280,3000,13036.421548
-295588,3000,13054.330429
-309676,3000,13072.563629
-260400,3000,13090.496377
-314860,3000,13108.883592
-274540,3000,13126.829681
-294624,3000,13145.591489
-269368,3000,13163.869426
-304988,3000,13181.482153
-273248,3000,13199.929317
-318932,3000,13217.965281
-284600,3000,13242.977558
-313156,3000,13260.886983
-250640,3000,13278.579022
-308228,3000,13297.368075
-284404,3000,13315.650713
-286504,3000,13333.38782
-297760,3000,13351.232635
-266540,3000,13369.834504
-302936,3000,13387.198969
-273112,3000,13405.184174
-276644,3000,13422.901818
-274748,3000,13440.507117
-310672,3000,13458.300643
-298408,3000,13476.591822
-286692,3000,13494.533206
-280700,3000,13513.288682
-302748,3000,13530.877458
-290684,3000,13548.220396
-276712,3000,13566.447409
-294680,3000,13585.065936
-271788,3000,13602.904699
-281544,3000,13620.149082
-306020,3000,13637.795075
-302536,3000,13655.429731
-292188,3000,13673.866226
-282840,3000,13692.183824
-308928,3000,13710.244876
-278748,3000,13729.327051
-263344,3000,13747.377695
-273224,3000,13766.147962
-300540,3000,13784.136659
-287840,3000,13801.274334
-283656,3000,13820.264358
-292772,3000,13838.685194
-284552,3000,13856.645162
-291588,3000,13874.902103
-280780,3000,13892.820889
-301404,3000,13911.820339
-268420,3000,13929.563433
-278492,3000,13948.457407
-276472,3000,13966.717794
-290652,3000,13984.759036
-304820,3000,14003.287009
-259392,3000,14021.2901
-263480,3000,14039.615752
-327740,3000,14057.193996
-283668,3000,14075.480757
-271512,3000,14093.779302
-278588,3000,14112.732359
-302528,3000,14130.481422
-293376,3000,14148.354233
-277636,3000,14167.145987
-269588,3000,14186.384766
-271420,3000,14204.624094
-299720,3000,14223.070363
-283468,3000,14240.606187
-243140,3000,14258.559442
-288528,3000,14276.114866
-287388,3000,14294.300402
-265476,3000,14312.043577
-250508,3000,14330.185025
-284440,3000,14347.967615
-262216,3000,14366.33891
-291432,3000,14383.847213
-283224,3000,14402.253224
-273364,3000,14420.296399
-268624,3000,14437.100134
-294528,3000,14462.512777
-280652,3000,14480.918825
-284516,3000,14499.771228
-294268,3000,14517.351915
-301712,3000,14535.288654
-271876,3000,14552.705901
-276280,3000,14570.025693
-294652,3000,14588.528257
-292508,3000,14606.176277
-274640,3000,14624.424332
-293480,3000,14642.305706
-266476,3000,14660.703814
-287356,3000,14678.436668
-261356,3000,14696.491027
-271488,3000,14714.768558
-260536,3000,14732.995204
-275468,3000,14751.247266
-266308,3000,14770.208977
-266360,3000,14788.310855
-275512,3000,14806.424681
-278708,3000,14824.197491
-263572,3000,14841.519062
-268520,3000,14858.671521
-263492,3000,14876.011136
-284548,3000,14893.998061
-276516,3000,14911.465954
-244460,3000,14929.611944
-265380,3000,14947.333644
-258524,3000,14964.8567
-247624,3000,14982.779419
-273548,3000,15000.350802
-264388,3000,15018.340475
-279468,3000,15036.463505
-251108,3000,15054.545665
-266420,3000,15072.8348
-263328,3000,15090.346967
-240360,3000,15107.436819
-249336,3000,15125.173853
-246344,3000,15143.061279
-270192,3000,15160.353513
-245232,3000,15178.398021
-283792,3000,15196.211641
-228404,3000,15213.979817
-234292,3000,15231.341057
-275592,3000,15249.590479
-254196,3000,15267.018648
-241364,3000,15284.390523
-254420,3000,15302.598474
-231748,3000,15320.569931
-258484,3000,15339.338559
-233980,3000,15357.400336
-258428,3000,15375.093399
-237364,3000,15392.952596
-251496,3000,15410.960655
-221440,3000,15429.365667
-255644,3000,15446.79683
-254684,3000,15464.712496
-225324,3000,15483.397418
-215144,3000,15500.812201
-246324,3000,15518.872977
-242560,3000,15536.852543
-229400,3000,15554.464868
-220536,3000,15572.391576
-210740,3000,15589.547174
-248304,3000,15607.381018
-254484,3000,15624.813852
-240376,3000,15643.225494
-234632,3000,15668.5761
-240452,3000,15686.214369
-226056,3000,15703.942876
-239320,3000,15721.926518
-216400,3000,15740.112264
-223312,3000,15758.115722
-222192,3000,15775.655296
-221196,3000,15793.117102
-225616,3000,15811.160588
-222308,3000,15828.821443
-228300,3000,15846.309467
-226272,3000,15863.786076
-233280,3000,15881.585916
-217812,3000,15899.309635
-214264,3000,15916.825353
-214360,3000,15934.450462
-221384,3000,15952.12103
-228440,3000,15969.82026
-238500,3000,15987.850189
-203180,3000,16005.390981
-219652,3000,16023.440364
-238496,3000,16042.247287
-223320,3000,16059.802005
-220368,3000,16077.010415
-230484,3000,16094.553602
-217168,3000,16112.067179
-232512,3000,16129.711218
-214028,3000,16146.870861
-221400,3000,16163.602496
-237296,3000,16181.07943
-219204,3000,16198.329136
-203172,3000,16215.404948
-221316,3000,16232.572634
-216968,3000,16250.292402
-225076,3000,16267.902495
-226452,3000,16285.190263
-239580,3000,16302.976175
-208316,3000,16320.715266
-227148,3000,16337.953169
-206208,3000,16355.337297
-205076,3000,16372.256136
-213176,3000,16389.769315
-236252,3000,16406.573626
-191076,3000,16424.48641
-221008,3000,16442.023229
-232420,3000,16459.709037
-186144,3000,16476.758152
-239228,3000,16494.099224
-214472,3000,16511.928679
-213912,3000,16529.814327
-241256,3000,16547.267635
-219976,3000,16564.530134
-219992,3000,16582.198016
-205168,3000,16600.629847
-229204,3000,16617.97657
-206104,3000,16634.836725
-247244,3000,16651.939727
-221968,3000,16670.185539
-201240,3000,16687.487395
-202372,3000,16705.304679
-228488,3000,16722.829301
-230100,3000,16739.712305
-210992,3000,16757.21891
-206092,3000,16775.096527
-221016,3000,16792.694636
-222064,3000,16809.737233
-232492,3000,16834.632818
-212224,3000,16852.332047
-204224,3000,16869.914329
-253372,3000,16888.196608
-222320,3000,16905.476755
-199088,3000,16922.916799
-216064,3000,16940.58249
-236104,3000,16958.571029
-212544,3000,16975.96722
-223524,3000,16993.687438
-202204,3000,17011.182157
-244452,3000,17029.126628
-217088,3000,17047.286258
-214232,3000,17064.635923
-213848,3000,17082.02052
-204048,3000,17099.988593
-223080,3000,17117.818146
-183756,3000,17135.587515
-209064,3000,17152.835008
-224204,3000,17170.314998
-209604,3000,17187.326741
-251152,3000,17204.797012
-222184,3000,17222.33089
-224040,3000,17239.498787
-211152,3000,17256.730716
-209012,3000,17274.090658
-196880,3000,17291.190671
-249416,3000,17308.650147
-201844,3000,17325.318858
-211988,3000,17343.006007
-202012,3000,17360.067588
-201072,3000,17377.961122
-233004,3000,17395.345237
-196688,3000,17412.515133
-202916,3000,17429.996465
-227988,3000,17447.821422
-209012,3000,17464.882295
-207884,3000,17482.311554
-215876,3000,17499.608941
-231128,3000,17516.685931
-212016,3000,17533.846262
-213392,3000,17551.049981
-221100,3000,17568.19562
-216740,3000,17585.305291
-231260,3000,17602.834691
-214652,3000,17620.140147
-224880,3000,17636.521744
-212240,3000,17654.544163
-204120,3000,17671.663449
-196020,3000,17688.765326
-209064,3000,17706.174742
-195764,3000,17723.409754
-185952,3000,17740.390812
-220880,3000,17757.501841
-192720,3000,17774.387735
-215700,3000,17791.702182
-197032,3000,17809.02759
-208052,3000,17826.477525
-196716,3000,17844.175718
-249048,3000,17861.89403
-199056,3000,17879.371182
-206700,3000,17896.326733
-210032,3000,17913.87079
-211012,3000,17930.868726
-220060,3000,17948.813825
-201888,3000,17966.035753
-215912,3000,17982.655039
-229968,3000,18006.037833
-209956,3000,18023.168931
-193896,3000,18040.453282
-229124,3000,18058.141304
-175812,3000,18075.568637
-245120,3000,18092.662355
-210204,3000,18109.876337
-223904,3000,18127.627828
-200692,3000,18144.472447
-184448,3000,18162.080163
-224060,3000,18178.90313
-204948,3000,18195.348921
-197004,3000,18212.285431
-209880,3000,18229.655478
-221004,3000,18247.085117
-222960,3000,18264.414389
-206092,3000,18282.118397
-199724,3000,18298.975585
-208880,3000,18315.589279
-211436,3000,18333.282702
-221744,3000,18350.154023
-207852,3000,18367.085651
-198992,3000,18383.659282
-217528,3000,18400.741669
-192828,3000,18417.904763
-217900,3000,18434.028709
-223888,3000,18450.952639
-222848,3000,18467.973808
-214692,3000,18485.046653
-175292,3000,18501.658508
-218728,3000,18518.441669
-219832,3000,18535.123238
-198392,3000,18552.434307
-208916,3000,18570.058145
-199712,3000,18587.542989
-211840,3000,18604.166843
