#{"t_start": 1680175651.3070807, "env_id": null}
r,l,t
-353040,3000,12.030155
-382280,3000,25.615289
-340308,3000,39.727344
-342884,3000,55.02235
-379072,3000,73.486267
-385548,3000,92.521563
-374288,3000,110.69632
-373204,3000,129.192642
-398140,3000,147.837143
-371884,3000,165.925306
-380316,3000,184.206695
-349876,3000,202.377521
-382128,3000,221.014642
-371112,3000,239.551923
-375160,3000,257.744866
-369408,3000,275.976501
-382108,3000,294.02393
-370288,3000,311.76805
-360008,3000,330.164565
-370152,3000,347.738397
-388216,3000,365.841222
-372784,3000,383.920233
-351916,3000,401.695545
-386092,3000,419.993752
-368368,3000,438.361442
-395324,3000,457.008054
-380348,3000,476.448565
-376464,3000,494.932207
-364188,3000,513.807434
-365392,3000,534.377344
-389172,3000,554.95047
-391096,3000,573.711073
-358012,3000,593.427891
-380044,3000,612.29289
-363296,3000,630.757574
-368180,3000,649.805951
-382192,3000,668.570122
-394176,3000,687.219464
-371136,3000,706.031633
-342740,3000,725.177411
-380968,3000,744.728986
-377044,3000,765.705503
-379256,3000,785.798087
-387036,3000,804.076408
-352896,3000,822.166931
-381872,3000,841.175144
-352332,3000,859.575624
-353964,3000,878.07131
-385276,3000,897.376184
-361004,3000,915.670954
-375320,3000,934.890371
-385076,3000,953.569056
-352328,3000,972.137715
-371164,3000,991.749871
-393116,3000,1010.419358
-407488,3000,1029.38965
-372016,3000,1047.836249
-366028,3000,1065.529501
-388056,3000,1083.261095
-365288,3000,1101.998182
-397120,3000,1120.356161
-353112,3000,1138.342535
-376356,3000,1156.750927
-401492,3000,1175.143603
-360140,3000,1193.738923
-361360,3000,1212.769169
-384264,3000,1238.529213
-353788,3000,1257.514504
-365268,3000,1276.238176
-380900,3000,1294.68836
-361236,3000,1312.795464
-390320,3000,1331.513197
-350948,3000,1350.589876
-366904,3000,1369.193689
-391988,3000,1388.114883
-376236,3000,1406.205525
-361868,3000,1423.884753
-360200,3000,1442.320275
-326736,3000,1460.954674
-380208,3000,1479.341516
-387172,3000,1497.644089
-363220,3000,1516.538152
-362024,3000,1534.616154
-354912,3000,1552.507613
-349756,3000,1570.729265
-352856,3000,1589.245102
-367864,3000,1607.372497
-331032,3000,1626.406675
-363056,3000,1645.594805
-354852,3000,1664.463136
-349148,3000,1683.725973
-366028,3000,1702.879251
-398356,3000,1721.412009
-343976,3000,1739.795958
-337944,3000,1758.079826
-353972,3000,1776.43348
-388184,3000,1794.738279
-371212,3000,1813.011138
-369036,3000,1831.126925
-364128,3000,1849.495373
-358164,3000,1868.572763
-382232,3000,1886.149762
-359960,3000,1903.698157
-340864,3000,1922.025074
-359732,3000,1940.620412
-362128,3000,1959.479208
-391020,3000,1977.522496
-322776,3000,1995.944559
-344080,3000,2015.344622
-364096,3000,2033.084724
-404304,3000,2051.488033
-379944,3000,2068.934262
-341552,3000,2086.795804
-379944,3000,2105.076955
-330816,3000,2123.970711
-390204,3000,2142.5565
-369888,3000,2160.657083
-345928,3000,2179.737067
-338912,3000,2197.888535
-370784,3000,2215.985632
-357028,3000,2234.16631
-375176,3000,2252.990116
-382260,3000,2271.357805
-335856,3000,2289.447909
-388928,3000,2307.877572
-365944,3000,2326.998554
-345436,3000,2345.243031
-410228,3000,2363.051116
-328892,3000,2380.831215
-350860,3000,2398.641669
-344688,3000,2417.258809
-316404,3000,2435.104527
-348948,3000,2453.24218
-336712,3000,2477.150043
-363924,3000,2495.446242
-339604,3000,2513.336612
-324776,3000,2530.939612
-369076,3000,2549.915417
-368172,3000,2567.928987
-351952,3000,2586.183884
-347004,3000,2603.180808
-365948,3000,2621.142964
-355816,3000,2638.854257
-353956,3000,2656.788591
-351204,3000,2675.121515
-370884,3000,2693.11035
-329844,3000,2710.74828
-334048,3000,2728.891426
-358896,3000,2746.910485
-376820,3000,2765.986847
-379880,3000,2784.2264
-368824,3000,2801.312897
-343700,3000,2819.28208
-368712,3000,2837.487312
-367932,3000,2855.123296
-346880,3000,2873.127065
-359792,3000,2890.968768
-325836,3000,2909.32747
-331796,3000,2927.78896
-350720,3000,2945.31325
-335764,3000,2964.067753
-361756,3000,2981.77083
-336704,3000,3000.362069
-331692,3000,3018.223864
-341692,3000,3036.098862
-347664,3000,3053.771458
-345680,3000,3072.161027
-352876,3000,3089.53349
-347588,3000,3106.61997
-356608,3000,3124.734562
-364780,3000,3143.054954
-366788,3000,3161.145156
-378448,3000,3179.769154
-351732,3000,3197.925263
-347848,3000,3216.189991
-371936,3000,3234.402255
-311600,3000,3252.289769
-333924,3000,3270.383842
-387732,3000,3288.743551
-344832,3000,3307.498649
-345056,3000,3326.062823
-336628,3000,3344.654783
-325836,3000,3362.464712
-350644,3000,3381.290832
-363872,3000,3400.987296
-370684,3000,3419.53018
-350724,3000,3436.576823
-361740,3000,3454.457745
-348008,3000,3472.683066
-355604,3000,3490.155095
-354644,3000,3508.324169
-338264,3000,3526.500153
-346712,3000,3544.633179
-356872,3000,3563.20214
-312648,3000,3581.734981
-351668,3000,3599.771148
-350632,3000,3617.653497
-332552,3000,3636.519077
-299572,3000,3654.724371
-345760,3000,3673.191037
-321592,3000,3696.388467
-350344,3000,3713.528101
-341376,3000,3731.846267
-355700,3000,3749.615119
-340620,3000,3767.197322
-321580,3000,3785.01992
-337100,3000,3803.425998
-350936,3000,3821.159681
-342580,3000,3838.491142
-341824,3000,3855.904832
-355516,3000,3874.435398
-371768,3000,3892.471627
-356768,3000,3909.931129
-342556,3000,3927.565237
-335760,3000,3945.332309
-357892,3000,3963.228351
-370812,3000,3980.608325
-333604,3000,3998.655863
-311748,3000,4016.437773
-366792,3000,4034.813097
-372608,3000,4053.01403
-353592,3000,4071.402631
-336908,3000,4089.322771
-329532,3000,4106.472487
-345668,3000,4124.319362
-322616,3000,4141.503129
-326660,3000,4159.638766
-342596,3000,4178.170034
-340884,3000,4196.895108
-301280,3000,4213.741224
-334756,3000,4231.90613
-332708,3000,4250.647875
-328496,3000,4269.832372
-345708,3000,4287.756989
-362752,3000,4308.013126
-334960,3000,4326.737561
-325720,3000,4344.316982
-347560,3000,4362.774425
-354908,3000,4379.936161
-364068,3000,4398.181939
-329552,3000,4416.486141
-325836,3000,4435.899131
-330600,3000,4455.432122
-343840,3000,4473.748739
-362820,3000,4492.506847
-332456,3000,4510.915409
-333608,3000,4529.027966
-333616,3000,4547.092773
-347992,3000,4565.196844
-334784,3000,4584.420827
-322488,3000,4602.339776
-344936,3000,4621.441827
-313756,3000,4639.616157
-335812,3000,4658.73789
-298484,3000,4676.733103
-333648,3000,4695.442747
-353688,3000,4713.721328
-339444,3000,4730.854727
-317860,3000,4749.007365
-324672,3000,4766.126515
-312472,3000,4784.06196
-347892,3000,4801.63422
-329324,3000,4819.704382
-342392,3000,4838.37068
-329728,3000,4855.997311
-319404,3000,4873.615549
-336656,3000,4898.091856
-341552,3000,4916.340773
-357072,3000,4934.698273
-322672,3000,4953.983725
-331564,3000,4972.081466
-320736,3000,4990.315452
-307956,3000,5008.257629
-351544,3000,5026.583671
-325800,3000,5044.416296
-336876,3000,5062.677537
-307432,3000,5079.995908
-333792,3000,5098.093317
-315552,3000,5115.471852
-349640,3000,5133.485105
-331492,3000,5151.891787
-350588,3000,5170.977189
-337664,3000,5189.654869
-350880,3000,5208.010932
-313536,3000,5226.528685
-331592,3000,5244.627984
-325488,3000,5262.402555
-337712,3000,5280.601637
-301192,3000,5299.602365
-357668,3000,5317.164222
-312392,3000,5334.89564
-335868,3000,5352.953909
-329700,3000,5371.284284
-324436,3000,5389.248587
-303576,3000,5407.619123
-310552,3000,5426.068213
-309552,3000,5443.599313
-337352,3000,5461.23673
-313224,3000,5479.074724
-297840,3000,5496.517193
-341352,3000,5513.686192
-318252,3000,5531.098216
-313312,3000,5550.261351
-320252,3000,5568.338666
-335792,3000,5585.707707
-323604,3000,5603.808934
-329856,3000,5622.249721
-345644,3000,5640.227468
-328456,3000,5658.422694
-363816,3000,5676.70032
-319704,3000,5694.431585
-371720,3000,5711.796129
-318384,3000,5729.232842
-349616,3000,5747.488292
-338680,3000,5764.990218
-326704,3000,5783.067827
-293356,3000,5800.374833
-301352,3000,5817.202698
-335680,3000,5835.719906
-312484,3000,5854.023974
-331628,3000,5871.783607
-334744,3000,5889.213553
-337640,3000,5907.744963
-327632,3000,5924.857087
-310468,3000,5941.675204
-318356,3000,5959.686442
-307532,3000,5978.000282
-330748,3000,5996.317628
-308580,3000,6013.146384
-323308,3000,6031.342576
-349672,3000,6048.287298
-341568,3000,6065.589977
-317484,3000,6083.025831
-319780,3000,6108.430373
-341820,3000,6127.746306
-312456,3000,6145.703542
-350812,3000,6163.430678
-296476,3000,6182.185066
-368556,3000,6201.219271
-294352,3000,6220.172591
-313364,3000,6237.979265
-318212,3000,6257.123574
-300288,3000,6275.531145
-373612,3000,6293.187548
-332196,3000,6310.545215
-320056,3000,6327.712204
-310452,3000,6345.449962
-335288,3000,6363.320825
-318724,3000,6382.072671
-333632,3000,6399.403738
-332676,3000,6417.298003
-296304,3000,6435.066098
-298144,3000,6452.209055
-340456,3000,6470.079527
-327524,3000,6488.159493
-304200,3000,6504.55297
-328620,3000,6523.226355
-305416,3000,6541.13702
-305324,3000,6558.692096
-320512,3000,6576.262613
-324360,3000,6592.979697
-286068,3000,6610.680934
-316508,3000,6628.732912
-311360,3000,6646.725661
-304656,3000,6664.275641
-300556,3000,6682.750976
-302336,3000,6700.258576
-346600,3000,6719.058887
-325732,3000,6737.395163
-354604,3000,6755.646174
-307188,3000,6772.548373
-303340,3000,6789.700322
-310440,3000,6807.275249
-323552,3000,6825.154927
-338352,3000,6842.587265
-335664,3000,6860.37939
-337696,3000,6878.36701
-334796,3000,6896.152972
-317488,3000,6914.159664
-295308,3000,6933.903121
-321540,3000,6952.974896
-318448,3000,6971.655535
-309620,3000,6990.122336
-336640,3000,7008.988545
-330176,3000,7027.591255
-324324,3000,7046.772333
-302516,3000,7065.908652
-307264,3000,7084.459072
-327276,3000,7104.299251
-313516,3000,7124.096224
-352436,3000,7142.187123
-330376,3000,7161.739495
-300288,3000,7181.2661
-306212,3000,7199.831414
-314212,3000,7218.568417
-286264,3000,7237.782864
-317332,3000,7256.687524
-328656,3000,7274.581794
-326392,3000,7293.856979
-308392,3000,7312.367033
-333352,3000,7338.287451
-304404,3000,7358.04223
-298288,3000,7379.024424
-305428,3000,7402.447388
-304616,3000,7425.180687
-301308,3000,7448.681491
-299232,3000,7469.876245
-299372,3000,7491.605144
-315744,3000,7512.561661
-311256,3000,7533.835305
-295288,3000,7554.205919
-312460,3000,7575.870546
-314380,3000,7595.873192
-325240,3000,7616.870869
-289172,3000,7637.331308
-299508,3000,7660.661598
-296092,3000,7681.222623
-319212,3000,7702.670772
-284308,3000,7723.248465
-320360,3000,7744.191983
-302316,3000,7765.522317
-287584,3000,7785.264556
-311344,3000,7807.506728
-297252,3000,7829.055314
-307120,3000,7850.143135
-336368,3000,7871.94668
-299140,3000,7892.301344
-324600,3000,7914.023912
-304620,3000,7934.792362
-271216,3000,7958.510491
-303284,3000,7979.527142
-332224,3000,7998.464592
-286052,3000,8018.251582
-285248,3000,8037.267199
-305336,3000,8057.327467
-321268,3000,8078.942576
-293148,3000,8099.668721
-285008,3000,8120.847992
-276072,3000,8139.553192
-327444,3000,8159.512626
-306392,3000,8179.894712
-294308,3000,8200.66504
-278052,3000,8221.837127
-315508,3000,8242.171491
-291100,3000,8263.494062
-333672,3000,8283.691547
-291324,3000,8304.193762
-322232,3000,8326.485273
-294996,3000,8347.120763
-338244,3000,8367.322983
-325448,3000,8387.515047
-300256,3000,8407.801539
-319436,3000,8428.431788
-310256,3000,8644.104798
-286264,3000,8661.647546
-298176,3000,8678.11705
-309328,3000,8694.513711
-320408,3000,8711.889458
-292972,3000,8728.256828
-309172,3000,8745.062603
-289096,3000,8761.858706
-285104,3000,8778.653194
-318292,3000,8795.023818
-288160,3000,8811.369195
-333692,3000,8828.236851
-272072,3000,8845.516869
-297008,3000,8868.389651
-298980,3000,8885.448285
-300428,3000,8903.336915
-286980,3000,8920.410721
-308220,3000,8938.049328
-290944,3000,8955.12212
-287072,3000,8972.766953
-301116,3000,8990.616584
-280016,3000,9007.375604
-289060,3000,9024.796103
-297112,3000,9042.083928
-288380,3000,9058.80852
-273892,3000,9075.525808
-299268,3000,9092.756688
-298984,3000,9110.358444
-306352,3000,9127.778154
-271872,3000,9145.334139
-311344,3000,9162.162567
-285144,3000,9179.141307
-294152,3000,9195.838135
-285120,3000,9213.335737
-319032,3000,9230.619185
-294116,3000,9248.261973
-299128,3000,9264.978152
-282984,3000,9281.647289
-300104,3000,9298.646385
-316236,3000,9315.719187
-313268,3000,9332.918234
-307860,3000,9349.619601
-281184,3000,9366.631857
-318248,3000,9383.362619
-275080,3000,9399.803028
-315384,3000,9416.95178
-319140,3000,9433.654774
-274216,3000,9450.723173
-310160,3000,9467.927081
-289084,3000,9484.445745
-295184,3000,9501.292543
-301080,3000,9518.301913
-257812,3000,9535.647383
-295180,3000,9552.908338
-297924,3000,9569.48377
-304184,3000,9586.680382
-299180,3000,9604.019777
-299204,3000,9620.986962
-312188,3000,9638.25776
-272496,3000,9654.851085
-297976,3000,9671.020938
-292016,3000,9687.46357
-286056,3000,9704.459655
-296192,3000,9721.330383
-291144,3000,9738.080219
-306032,3000,9754.743971
-290192,3000,9770.984647
-311164,3000,9787.792037
-294176,3000,9805.232777
-285932,3000,9821.964402
-280832,3000,9838.814927
-305180,3000,9855.588414
-272044,3000,9873.094521
-299188,3000,9890.608544
-291240,3000,9907.660374
-293148,3000,9924.410985
-326404,3000,9940.823456
-297356,3000,9957.845507
-283176,3000,9974.470288
-279008,3000,9991.164338
-291800,3000,10014.032198
-271976,3000,10031.804034
-264056,3000,10048.772442
-261784,3000,10065.403849
-264096,3000,10082.548583
-254840,3000,10099.788995
-275816,3000,10117.040801
-261736,3000,10133.871373
-268900,3000,10150.816097
-266044,3000,10167.198644
-271004,3000,10183.865106
-288044,3000,10200.545244
-291212,3000,10217.854049
-262928,3000,10235.174676
-268872,3000,10251.506124
-236904,3000,10268.01365
-289160,3000,10284.596153
-278628,3000,10301.502014
-292904,3000,10318.337401
-280320,3000,10334.93761
-283056,3000,10351.888875
-293276,3000,10369.328582
-291104,3000,10386.074496
-280068,3000,10403.038401
-261808,3000,10419.292181
-286912,3000,10435.655345
-269756,3000,10451.208755
-286896,3000,10467.739494
-278048,3000,10484.105531
-288076,3000,10501.048902
-283924,3000,10517.806202
-299904,3000,10535.096162
-275908,3000,10551.721085
-290728,3000,10568.50889
-288036,3000,10585.316058
-299952,3000,10602.866993
-262016,3000,10619.367997
-273164,3000,10635.632445
-277900,3000,10652.439456
-256016,3000,10669.533559
-255036,3000,10686.257555
-300844,3000,10703.401178
-274984,3000,10720.382578
-282852,3000,10737.004839
-270024,3000,10752.9172
-303868,3000,10770.132274
-285988,3000,10787.172847
-296656,3000,10803.218441
-285832,3000,10819.980406
-276992,3000,10836.714206
-288956,3000,10853.129363
-300944,3000,10869.975374
-280164,3000,10886.355117
-257688,3000,10902.756768
-286132,3000,10919.045328
-294468,3000,10936.002153
-245900,3000,10952.782916
-273916,3000,10969.673675
-274644,3000,10986.482502
-276972,3000,11003.367016
-273156,3000,11019.939447
-308392,3000,11037.103593
-288900,3000,11053.085364
-263660,3000,11069.304048
-261504,3000,11085.421847
-287812,3000,11102.199989
-286340,3000,11118.754558
-273076,3000,11141.529921
-278092,3000,11158.367967
-277924,3000,11175.858161
-265880,3000,11191.986355
-281796,3000,11208.580642
-272820,3000,11225.354663
-289036,3000,11241.19471
-291940,3000,11257.176239
-291132,3000,11274.01599
-296948,3000,11290.130253
-278920,3000,11306.466779
-299972,3000,11322.462604
-278736,3000,11339.059057
-254860,3000,11355.517001
-262916,3000,11372.115782
-299000,3000,11389.11957
-286076,3000,11406.49016
-284824,3000,11422.984669
-270900,3000,11439.358704
-258648,3000,11456.253787
-261864,3000,11472.623386
-274684,3000,11488.95078
-276984,3000,11505.082193
-278740,3000,11521.465269
-278936,3000,11538.196843
-287932,3000,11554.348869
-246924,3000,11570.804266
-274048,3000,11587.418757
-258988,3000,11604.550113
-278988,3000,11621.24071
-276192,3000,11638.170589
-275092,3000,11655.35473
-257772,3000,11671.985597
-284792,3000,11689.468539
-289092,3000,11706.607455
-257640,3000,11723.757272
-256896,3000,11739.810731
-251944,3000,11756.624768
-279944,3000,11772.989513
-268788,3000,11789.314055
-259756,3000,11806.472418
-278692,3000,11822.932153
-246448,3000,11839.573143
-264044,3000,11855.926963
-273704,3000,11872.381798
-284868,3000,11888.451061
-278812,3000,11905.676323
-294732,3000,11921.469089
-279656,3000,11937.341869
-259704,3000,11954.33298
-266768,3000,11970.309581
-261736,3000,11986.612822
-255840,3000,12002.974452
-259772,3000,12019.552968
-252736,3000,12035.660154
-270680,3000,12051.277538
-246472,3000,12067.654823
-252656,3000,12083.604638
-251476,3000,12099.774081
-256768,3000,12115.947126
-261624,3000,12132.597839
-263896,3000,12148.174784
-285776,3000,12164.824082
-242740,3000,12181.531937
-238584,3000,12197.326192
-245532,3000,12213.45054
-278544,3000,12235.794834
-252752,3000,12252.404504
-256928,3000,12269.359643
-279008,3000,12286.150746
-254708,3000,12303.032824
-267668,3000,12320.25405
-248744,3000,12336.284284
-256856,3000,12353.049857
-248672,3000,12369.288012
-246236,3000,12385.099353
-271784,3000,12400.830736
-241476,3000,12416.573237
-266932,3000,12433.391778
-258656,3000,12449.571279
-240492,3000,12466.257647
-236660,3000,12482.86102
-247744,3000,12498.407466
-265600,3000,12514.575408
-248364,3000,12530.878243
-242664,3000,12547.658162
-250560,3000,12563.531346
-230472,3000,12579.244382
-228592,3000,12595.839448
-256256,3000,12612.184623
-262612,3000,12628.123364
-261528,3000,12645.156589
-238444,3000,12661.233837
-253788,3000,12678.096648
-243496,3000,12695.148966
-262624,3000,12711.785739
-257640,3000,12728.555005
-247792,3000,12744.961313
-267728,3000,12761.145648
-252740,3000,12778.290413
-274808,3000,12794.428148
-236512,3000,12811.547076
-259704,3000,12827.779165
-247520,3000,12844.495304
-237476,3000,12861.037118
-242756,3000,12876.891671
-230296,3000,12893.649707
-262708,3000,12909.76418
-263624,3000,12926.231232
-221500,3000,12941.954912
-244792,3000,12958.014173
-282752,3000,12974.490883
-239476,3000,12989.951212
-255740,3000,13006.546072
-231436,3000,13023.008175
-275628,3000,13039.30279
-252440,3000,13056.119343
-258572,3000,13072.494738
-232716,3000,13089.219082
-253532,3000,13105.791929
-260860,3000,13122.133997
-241500,3000,13137.736897
-223436,3000,13153.162886
-250564,3000,13168.807454
-252556,3000,13185.016096
-250672,3000,13202.284701
-246516,3000,13218.379133
-247284,3000,13234.270028
-248284,3000,13250.913219
-252252,3000,13267.327666
-250436,3000,13283.313077
-253432,3000,13299.86099
-245448,3000,13315.817989
-250172,3000,13337.796724
-243796,3000,13355.151174
